subref	form	norm	lemma	tag	curated
1.1@Vielen	Vielen	vielen			n
1.1@von	von	von			n
1.1@den	den	den			n
1.1@Menschen	Menschen	menschen			n
1.1@widerfährt	widerfährt	widerfährt			n
1.1@es	es	es			n
1.1@sich	sich	sich			n
1.1@zu	zu	zu			n
1.1@wundern	wundern	wundern			n
1.1@über	über	über			n
1.1@den[2]	den	den			n
1.1@Wechsel	Wechsel	wechsel			n
1.1@des	des	des			n
1.1@Lebens	Lebens	lebens			n
1.1@die	die	die			n
1.1@irgendwie	irgendwie	irgendwie			n
1.1@von[2]	von	von			n
1.1@reichlicher	reichlicher	reichlicher			n
1.1@Nahrung	Nahrung	nahrung			n
1.1@zu[2]	zu	zu			n
1.1@Geringerem	Geringerem	geringerem			n
1.1@übergegangen	übergegangen	übergegangen			n
1.1@sind	sind	sind			n
1.1@Denn	Denn	denn			n
1.1@solche	solche	solche			n
1.1@schmähen	schmähen	schmähen			n
1.1@aus	aus	aus			n
1.1@Liebe	Liebe	liebe			n
1.1@zu[3]	zu	zu			n
1.1@dem	dem	dem			n
1.1@Weggenommenen	Weggenommenen	weggenommenen			n
1.1@und[2]	und	und			n
1.1@aus[2]	aus	aus			n
1.1@Mangel	Mangel	mangel			n
1.1@des[2]	des	des			n
1.1@Notwendigen	Notwendigen	notwendigen			n
1.1@nicht	nicht	nicht			n
1.1@gelernt	gelernt	gelernt			n
1.1@habend	habend	habend			n
1.1@sich[2]	sich	sich			n
1.1@mit	mit	mit			n
1.1@dem[2]	dem	dem			n
1.1@Geringeren	Geringeren	geringeren			n
1.1@zu[4]	zu	zu			n
1.1@begnügen	begnügen	begnügen			n
1.1@oftmals	oftmals	oftmals			n
1.1@unvernünftig	unvernünftig	unvernünftig			n
1.1@auch	auch	auch			n
1.1@die[2]	die	die			n
1.1@Vorsehung	Vorsehung	vorsehung			n
1.2@Ich	Ich	ich			n
1.2@sage	sage	sage			n
1.2@aber	aber	aber			n
1.2@daß	daß	daß			n
1.2@wir	wir	wir			n
1.2@die	die	die			n
1.2@wir[2]	wir	wir			n
1.2@Menschen	Menschen	menschen			n
1.2@sind	sind	sind			n
1.2@und	und	und			n
1.2@zu	zu	zu			n
1.2@herrschen	herrschen	herrschen			n
1.2@über	über	über			n
1.2@das	das	das			n
1.2@unsertwegen	unsertwegen	unsertwegen			n
1.2@Geschaffene	Geschaffene	geschaffene			n
1.2@gewürdigt	gewürdigt	gewürdigt			n
1.2@uns[2]	uns	uns			n
1.2@nicht	nicht	nicht			n
1.2@geringer	geringer	geringer			n
1.2@erweisen	erweisen	erweisen			n
1.2@sollen	sollen	sollen			n
1.2@als	als	als			n
1.2@das[2]	das	das			n
1.2@unsertwegen[2]	unsertwegen	unsertwegen			n
1.2@Geschaffene[2]	Geschaffene	geschaffene			n
1.2@weder	weder	weder			n
1.2@ob	ob	ob			n
1.2@der[2]	der	der			n
1.2@Menge	Menge	menge			n
1.2@des	des	des			n
1.2@Reichtums	Reichtums	reichtums			n
1.2@uns[4]	uns	uns			n
1.2@sehr	sehr	sehr			n
1.2@zu[2]	zu	zu			n
1.2@erheben	erheben	erheben			n
1.2@noch	noch	noch			n
1.2@gegenüber	gegenüber	gegenüber			n
1.2@dem	dem	dem			n
1.2@Wenigen	Wenigen	wenigen			n
1.2@an	an	an			n
1.2@Zeitlichem	Zeitlichem	zeitlichem			n
1.2@Keine	Keine	keine			n
1.2@Geduld	Geduld	geduld			n
1.2@zu[3]	zu	zu			n
1.2@haben	haben	haben			n
1.2@denn	denn	denn			n
1.2@es[4]	es	es			n
1.2@ist	ist	ist			n
1.2@unvernünftig	unvernünftig	unvernünftig			n
1.2@Knechte	Knechte	knechte			n
1.2@der[3]	der	der			n
1.2@Dinge	Dinge	dinge			n
1.2@zu[4]	zu	zu			n
1.2@sein	sein	sein			n
1.2@über[3]	über	über			n
1.2@die[2]	die	die			n
1.2@wir[3]	wir	wir			n
1.2@Macht	Macht	macht			n
1.2@empfangen	empfangen	empfangen			n
1.2@haben[2]	haben	haben			n
1.3@Daß	Daß	daß			n
1.3@die	die	die			n
1.3@reich	reich	reich			n
1.3@Werdenden	Werdenden	werdenden			n
1.3@für	für	für			n
1.3@sehr	sehr	sehr			n
1.3@klein	klein	klein			n
1.3@und	und	und			n
1.3@gering	gering	gering			n
1.3@das	das	das			n
1.3@Viele	Viele	viele			n
1.3@halten	halten	halten			n
1.3@daß	daß	daß			n
1.3@die[2]	die	die			n
1.3@Armen	Armen	armen			n
1.3@aber	aber	aber			n
1.3@meinen	meinen	meinen			n
1.3@daß[2]	daß	daß			n
1.3@dies	dies	dies			n
1.3@nichts	nichts	nichts			n
1.3@sei	sei	sei			n
1.3@als	als	als			n
1.3@der	der	der			n
1.3@Enthaltsamkeit	Enthaltsamkeit	enthaltsamkeit			n
1.3@wegen	wegen	wegen			n
1.3@und[2]	und	und			n
1.3@wie	wie	wie			n
1.3@nichthabend	nichthabend	nichthabend			n
1.3@das[2]	das	das			n
1.3@Zeitliche	Zeitliche	zeitliche			n
1.3@haven	haven	haven			n
1.3@solche	solche	solche			n
1.3@sind	sind	sind			n
1.3@viel	viel	viel			n
1.3@größer	größer	größer			n
1.4@Wenn	Wenn	wenn			n
1.4@aber	aber	aber			n
1.4@nun	nun	nun			n
1.4@auch	auch	auch			n
1.4@ein	ein	ein			n
1.4@gewisser	gewisser	gewisser			n
1.4@Nutzen	Nutzen	nutzen			n
1.4@dem	dem	dem			n
1.4@Vermögen	Vermögen	vermögen			n
1.4@beizulegen	beizulegen	beizulegen			n
1.4@wäre	wäre	wäre			n
1.4@so	so	so			n
1.4@würde	würde	würde			n
1.4@gleichwohl	gleichwohl	gleichwohl			n
1.4@eine	eine	eine			n
1.4@geeignete	geeignete	geeignete			n
1.4@Entschuldigung	Entschuldigung	entschuldigung			n
1.4@den	den	den			n
1.4@Menschen	Menschen	menschen			n
1.4@fehlen	fehlen	fehlen			n
1.4@Wenn[2]	Wenn	wenn			n
1.4@aber[2]	aber	aber			n
1.4@kein	kein	kein			n
1.4@einziger	einziger	einziger			n
1.4@Nutzen[2]	Nutzen	nutzen			n
1.4@denn	denn	denn			n
1.4@wie	wie	wie			n
1.4@ist	ist	ist			n
1.4@es	es	es			n
1.4@möglich	möglich	möglich			n
1.4@den[3]	den	den			n
1.4@Rat	Rat	rat			n
