subref	form	norm	lemma	tag	curated
1.1@Ἡ	Ἡ	ἡ			n
1.1@τῶν	τῶν	τῶν			n
1.1@ἀνέμων	ἀνέμων	ἀνέμων			n
1.1@φύσις	φύσις	φύσις			n
1.1@ἐκ	ἐκ	ἐκ			n
1.1@τίνων	τίνων	τίνων			n
1.1@μὲν	μὲν	μέν			n
1.1@καὶ	καὶ	καί			n
1.1@πῶς	πῶς	πῶς			n
1.1@καὶ[2]	καὶ	καί			n
1.1@διὰ	διὰ	διά			n
1.1@τίνας	τίνας	τίνας			n
1.1@αἰτίας	αἰτίας	αἰτίας			n
1.1@γίνεται	γίνεται	γίνεται			n
1.1@τεθεώρηται	τεθεώρηται	τεθεώρηται			n
1.1@πρότερον	πρότερον	πρότερον			n
1.1@ὅτι	ὅτι	ὅτι			n
1.1@δʼ	δʼ	δʼ			n
1.1@ἑκάστοις	ἑκάστοις	ἑκάστοις			n
1.1@αἱ	αἱ	αἱ			n
1.1@δυνάμεις	δυνάμεις	δυνάμεις			n
1.1@καὶ[3]	καὶ	καί			n
1.1@ὅλως	ὅλως	ὅλως			n
1.1@τὰ	τὰ	τά			n
1.1@παρακολουθοῦντα	παρακολουθοῦντα	παρακολουθοῦντα			n
1.1@κατὰ	κατὰ	κατά			n
1.1@λόγον	λόγον	λόγον			n
1.1@ἀκολουθεῖ	ἀκολουθεῖ	ἀκολουθεῖ			n
1.1@πειρᾶσθαι	πειρᾶσθαι	πειρᾶσθαι			n
1.1@χρὴ	χρὴ	χρή			n
1.1@λέγειν	λέγειν	λέγειν			n
1.1@οἷσπερ	οἷσπερ	οἷσπερ			n
1.1@σχεδὸν	σχεδὸν	σχεδόν			n
1.1@διαφέρουσιν	διαφέρουσιν	διαφέρουσιν			n
1.1@ἀλλήλων	ἀλλήλων	ἀλλήλων			n
1.1@Αἱ	Αἱ	αἱ			n
1.1@γὰρ	γὰρ	γάρ			n
1.1@διαφοραὶ	διαφοραὶ	διαφοραί			n
1.1@περὶ	περὶ	περί			n
1.1@ταῦτα	ταῦτα	ταῦτα			n
1.1@καὶ[4]	καὶ	καί			n
1.1@ἐν	ἐν	ἐν			n
1.1@τούτοις	τούτοις	τούτοις			n
1.1@οἷον	οἷον	οἷον			n
1.1@μέγεθος	μέγεθος	μέγεθος			n
1.1@μικρότης	μικρότης	μικρότης			n
1.1@ψυχρότης	ψυχρότης	ψυχρότης			n
1.1@θερμότης	θερμότης	θερμότης			n
1.1@ἁπλῶς	ἁπλῶς	ἁπλῶς			n
1.1@τὸ	τὸ	τό			n
1.1@χειμερινὸν	χειμερινὸν	χειμερινόν			n
1.1@ἢ	ἢ	ἤ			n
1.1@εὐδιεινὸν	εὐδιεινὸν	εὐδιεινόν			n
1.1@καὶ[5]	καὶ	καί			n
1.1@ὑέτιον	ὑέτιον	ὑέτιον			n
1.1@ἢ[2]	ἢ	ἤ			n
1.1@αἴθριον	αἴθριον	αἴθριον			n
1.1@ἔτι	ἔτι	ἔτι			n
1.1@δὲ	δὲ	δέ			n
1.1@τὸ[2]	τὸ	τό			n
1.1@πολλάκις	πολλάκις	πολλάκις			n
1.1@ἢ[3]	ἢ	ἤ			n
1.1@ὀλιγάκις	ὀλιγάκις	ὀλιγάκις			n
1.1@καθʼ	καθʼ	καθʼ			n
1.1@ὥραν	ὥραν	ὥραν			n
1.1@ἢ[4]	ἢ	ἤ			n
1.1@τὸ[3]	τὸ	τό			n
1.1@μὴ	μὴ	μή			n
1.1@ἀεὶ	ἀεὶ	ἀεί			n
1.1@πνεῖν	πνεῖν	πνεῖν			n
1.1@καὶ[6]	καὶ	καί			n
1.1@συνεχεῖς	συνεχεῖς	συνεχεῖς			n
1.1@καὶ[7]	καὶ	καί			n
1.1@ὁμαλεῖς	ὁμαλεῖς	ὁμαλεῖς			n
1.1@ἢ[5]	ἢ	ἤ			n
1.1@διαλείποντας	διαλείποντας	διαλείποντας			n
1.1@καὶ[8]	καὶ	καί			n
1.1@ἀνωμαλεῖς	ἀνωμαλεῖς	ἀνωμαλεῖς			n
1.1@Καὶ	Καὶ	καί			n
1.1@ὅλως[2]	ὅλως	ὅλως			n
1.1@ἃ	ἃ	ἅ			n
1.1@συμβαίνει	συμβαίνει	συμβαίνει			n
1.1@περὶ[2]	περὶ	περί			n
1.1@τὸν	τὸν	τόν			n
1.1@οὐρανὸν	οὐρανὸν	οὐρανόν			n
1.1@ἢ[6]	ἢ	ἤ			n
1.1@περὶ[3]	περὶ	περί			n
1.1@τὸν[2]	τὸν	τόν			n
1.1@ἀέρα	ἀέρα	ἀέρα			n
1.1@καὶ[9]	καὶ	καί			n
1.1@τὴν	τὴν	τήν			n
1.1@γῆν	γῆν	γῆν			n
1.1@καὶ[10]	καὶ	καί			n
1.1@τὴν[2]	τὴν	τήν			n
1.1@θάλατταν	θάλατταν	θάλατταν			n
1.1@διὰ[2]	διὰ	διά			n
1.1@τὴν[3]	τὴν	τήν			n
1.1@πνοήν	πνοήν	πνοήν			n
1.1@Ὡς	Ὡς	ὡς			n
1.1@γὰρ[2]	γὰρ	γάρ			n
1.1@ἂν	ἂν	ἄν			n
1.1@ἁπλῶς[2]	ἁπλῶς	ἁπλῶς			n
1.1@εἰπεῖν	εἰπεῖν	εἰπεῖν			n
1.1@ἐν[2]	ἐν	ἐν			n
1.1@τούτοις[2]	τούτοις	τούτοις			n
1.1@καὶ[11]	καὶ	καί			n
1.1@περὶ[4]	περὶ	περί			n
1.1@ταῦτα[2]	ταῦτα	ταῦτα			n
1.1@τυγχάνουσιν	τυγχάνουσιν	τυγχάνουσιν			n
1.1@αἱ[2]	αἱ	αἱ			n
1.1@ζητήυ	ζητήυ	ζητήυ			n
1.1@σεις	σεις	σεις			n
1.1@ἐν[3]	ἐν	ἐν			n
1.1@οἷς	οἷς	οἷς			n
1.1@καὶ[12]	καὶ	καί			n
1.1@τὰ[3]	τὰ	τά			n
1.1@περὶ[5]	περὶ	περί			n
1.1@τῶν[2]	τῶν	τῶν			n
1.1@ζώων	ζώων	ζώων			n
1.1@καὶ[13]	καὶ	καί			n
1.1@φυτῶν	φυτῶν	φυτῶν			n
1.1@ἐμπεριλαμβάνεται	ἐμπεριλαμβάνεται	ἐμπεριλαμβάνεται			n
1.2@Ἐπεὶ	Ἐπεὶ	ἐπεί			n
1.2@δʼ	δʼ	δʼ			n
1.2@ἑκάστου	ἑκάστου	ἑκάστου			n
1.2@τόπος	τόπος	τόπος			n
1.2@ἴδιος	ἴδιος	ἴδιος			n
1.2@ὑποκεῖται	ὑποκεῖται	ὑποκεῖται			n
1.2@καὶ	καὶ	καί			n
1.2@τοῦθʼ	τοῦθʼ	τοῦθʼ			n
1.2@ὥσπερ	ὥσπερ	ὥσπερ			n
1.2@τῆς	τῆς	τῆς			n
1.2@οὐσίας	οὐσίας	οὐσίας			n
1.2@ἀπὸ	ἀπὸ	ἀπό			n
1.2@τούτου	τούτου	τούτου			n
1.2@ὡς	ὡς	ὡς			n
