subref	form	norm	lemma	tag	curated
2a.m1@מבוי	מבוי	מבוי			n
2a.m1@שהוא	שהוא	שהוא			n
2a.m1@גבוה	גבוה	גבוה			n
2a.m1@למעלה	למעלה	למעלה			n
2a.m1@מעשרים	מעשרים	מעשרים			n
2a.m1@אמה	אמה	אמה			n
2a.m1@ימעט	ימעט	ימעט			n
2a.m1@ר[2]	ר	ר			n
2a.m1@יהודה	יהודה	יהודה			n
2a.m1@אומר	אומר	אומר			n
2a.m1@אינו	אינו	אינו			n
2a.m1@צריך	צריך	צריך			n
2a.m1@והרחב	והרחב	והרחב			n
2a.m1@מעשר[2]	מעשר	מעשר			n
2a.m1@אמות	אמות	אמות			n
2a.m1@ימעט[2]	ימעט	ימעט			n
2a.m1@ואם	ואם	ואם			n
2a.m1@יש	יש	יש			n
2a.m1@לו	לו	לו			n
2a.m1@צורת	צורת	צורת			n
2a.m1@הפתח	הפתח	הפתח			n
2a.m1@אע	אע	אע			n
2a.m1@פ[2]	פ	פ			n
2a.m1@שהוא[2]	שהוא	שהוא			n
2a.m1@רחב[2]	רחב	רחב			n
2a.m1@מעשר[3]	מעשר	מעשר			n
2a.m1@אמות[2]	אמות	אמות			n
2a.m1@אין	אין	אין			n
2a.m1@צריך[2]	צריך	צריך			n
2a.m1@למעט	למעט	למעט			n
2a.b2@גמ	גמ	גמ			n
2a.b3@תנן	תנן	תנן			n
2a.b3@התם	התם	התם			n
2a.b3@סוכה	סוכה	סוכה			n
2a.b3@שהיא	שהיא	שהיא			n
2a.b3@גבוהה	גבוהה	גבוהה			n
2a.b3@למעלה	למעלה	למעלה			n
2a.b3@מעשרים	מעשרים	מעשרים			n
2a.b3@אמה	אמה	אמה			n
2a.b3@פסולה	פסולה	פסולה			n
2a.b3@ורבי	ורבי	ורבי			n
2a.b3@יהודה	יהודה	יהודה			n
2a.b3@מכשיר	מכשיר	מכשיר			n
2a.b3@מאי	מאי	מאי			n
2a.b3@שנא	שנא	שנא			n
2a.b3@גבי	גבי	גבי			n
2a.b3@סוכה[2]	סוכה	סוכה			n
2a.b3@דתני	דתני	דתני			n
2a.b3@פסולה[2]	פסולה	פסולה			n
2a.b3@וגבי	וגבי	וגבי			n
2a.b3@מבוי	מבוי	מבוי			n
2a.b3@תני[2]	תני	תני			n
2a.b3@תקנתא	תקנתא	תקנתא			n
2a.b3@סוכה[3]	סוכה	סוכה			n
2a.b3@דאורייתא	דאורייתא	דאורייתא			n
2a.b3@תני[3]	תני	תני			n
2a.b3@פסולה[3]	פסולה	פסולה			n
2a.b3@מבוי[2]	מבוי	מבוי			n
2a.b3@דרבנן	דרבנן	דרבנן			n
2a.b3@תני[4]	תני	תני			n
2a.b3@תקנתא[2]	תקנתא	תקנתא			n
2a.b3@ואיבעית	ואיבעית	ואיבעית			n
2a.b3@אימא	אימא	אימא			n
2a.b3@דאורייתא[2]	דאורייתא	דאורייתא			n
2a.b3@נמי	נמי	נמי			n
2a.b3@תני[5]	תני	תני			n
2a.b3@תקנתא[3]	תקנתא	תקנתא			n
2a.b3@אלא	אלא	אלא			n
2a.b3@סוכה[4]	סוכה	סוכה			n
2a.b3@דנפישין	דנפישין	דנפישין			n
2a.b3@מיליה	מיליה	מיליה			n
2a.b3@פסיק	פסיק	פסיק			n
2a.b3@ותני	ותני	ותני			n
2a.b3@פסולה[4]	פסולה	פסולה			n
2a.b3@מבוי[3]	מבוי	מבוי			n
2a.b3@דלא	דלא	דלא			n
2a.b3@נפישי[2]	נפישי	נפישי			n
2a.b3@מיליה[2]	מיליה	מיליה			n
2a.b3@תני[7]	תני	תני			n
2a.b3@תקנתא[4]	תקנתא	תקנתא			n
2a.b4@אמר	אמר	אמר			n
2a.b4@רב	רב	רב			n
2a.b4@יהודה	יהודה	יהודה			n
2a.b4@אמר[2]	אמר	אמר			n
2a.b4@רב[2]	רב	רב			n
2a.b4@חכמים	חכמים	חכמים			n
2a.b4@לא	לא	לא			n
2a.b4@למדוה	למדוה	למדוה			n
2a.b4@אלא	אלא	אלא			n
2a.b4@מפתחו	מפתחו	מפתחו			n
2a.b4@של	של	של			n
2a.b4@היכל	היכל	היכל			n
2a.b4@ורבי	ורבי	ורבי			n
2a.b4@יהודה[2]	יהודה	יהודה			n
2a.b4@לא[3]	לא	לא			n
2a.b4@למדה	למדה	למדה			n
2a.b4@אלא[2]	אלא	אלא			n
2a.b4@מפתחו[2]	מפתחו	מפתחו			n
2a.b4@של[2]	של	של			n
2a.b4@אולם	אולם	אולם			n
2a.b4@דתנן	דתנן	דתנן			n
2a.b4@פתחו[3]	פתחו	פתחו			n
2a.b4@של[3]	של	של			n
2a.b4@היכל[2]	היכל	היכל			n
2a.b4@גבהו	גבהו	גבהו			n
2a.b4@עשרים	עשרים	עשרים			n
2a.b4@אמה	אמה	אמה			n
2a.b4@ורחבו	ורחבו	ורחבו			n
2a.b4@עשר[2]	עשר	עשר			n
2a.b4@אמות	אמות	אמות			n
2a.b4@ושל	ושל	ושל			n
2a.b4@אולם[2]	אולם	אולם			n
2a.b4@גבהו[2]	גבהו	גבהו			n
2a.b4@ארבעים	ארבעים	ארבעים			n
2a.b4@אמה[2]	אמה	אמה			n
2a.b4@ורחבו[2]	ורחבו	ורחבו			n
2a.b4@עשרים[2]	עשרים	עשרים			n
2a.b4@אמות[2]	אמות	אמות			n
2a.b5@ושניהן	ושניהן	ושניהן			n
2a.b5@מקרא	מקרא	מקרא			n
2a.b5@אחד	אחד	אחד			n
2a.b5@דרשו	דרשו	דרשו			n
2a.b5@ושחטו	ושחטו	ושחטו			n
2a.b5@פתח	פתח	פתח			n
2a.b5@אהל	אהל	אהל			n
2a.b5@מועד	מועד	מועד			n
2a.b5@דרבנן	דרבנן	דרבנן			n
2a.b5@סברי	סברי	סברי			n
2a.b5@קדושת	קדושת	קדושת			n
2a.b5@היכל	היכל	היכל			n
2a.b5@לחוד	לחוד	לחוד			n
2a.b5@וקדושת	וקדושת	וקדושת			n
2a.b5@אולם	אולם	אולם			n
2a.b5@לחוד[2]	לחוד	לחוד			n
2a.b5@וכי	וכי	וכי			n
2a.b5@כתיב	כתיב	כתיב			n
2a.b5@פתח[2]	פתח	פתח			n
2a.b5@אהל[2]	אהל	אהל			n
2a.b5@מועד[2]	מועד	מועד			n
2a.b5@אהיכל	אהיכל	אהיכל			n
2a.b5@כתיב[2]	כתיב	כתיב			n
2a.b5@ורבי	ורבי	ורבי			n
2a.b5@יהודה	יהודה	יהודה			n
2a.b5@סבר[2]	סבר	סבר			n
2a.b5@היכל[3]	היכל	היכל			n
2a.b5@ואולם	ואולם	ואולם			n
2a.b5@קדושה	קדושה	קדושה			n
2a.b5@אחת	אחת	אחת			n
2a.b5@היא	היא	היא			n
2a.b5@וכי[2]	וכי	וכי			n
2a.b5@כתיב[3]	כתיב	כתיב			n
2a.b5@פתח[3]	פתח	פתח			n
2a.b5@אהל[3]	אהל	אהל			n
2a.b5@מועד[3]	מועד	מועד			n
2a.b5@אתרוייהו	אתרוייהו	אתרוייהו			n
2a.b5@הוא	הוא	הוא			n
2a.b5@דכתיב	דכתיב	דכתיב			n
2a.b6@ואיבעית	ואיבעית	ואיבעית			n
2a.b6@אימא	אימא	אימא			n
2a.b6@לר	לר	לר			n
2a.b6@יהודה	יהודה	יהודה			n
2a.b6@נמי	נמי	נמי			n
2a.b6@קדושת	קדושת	קדושת			n
2a.b6@אולם	אולם	אולם			n
2a.b6@לחוד	לחוד	לחוד			n
2a.b6@וקדושת	וקדושת	וקדושת			n
2a.b6@היכל	היכל	היכל			n
2a.b6@לחוד[2]	לחוד	לחוד			n
2a.b6@והכא	והכא	והכא			n
2a.b6@היינו	היינו	היינו			n
2a.b6@טעמא	טעמא	טעמא			n
2a.b6@דרבי	דרבי	דרבי			n
2a.b6@יהודה[2]	יהודה	יהודה			n
2a.b6@דכתיב	דכתיב	דכתיב			n
2a.b6@אל	אל	אל			n
2a.b6@פתח	פתח	פתח			n
2a.b6@אולם[2]	אולם	אולם			n
2a.b6@הבית	הבית	הבית			n
2a.b6@ורבנן	ורבנן	ורבנן			n
2a.b6@אי[3]	אי	אי			n
2a.b6@הוה	הוה	הוה			n
2a.b6@כתב	כתב	כתב			n
2a.b6@אל[2]	אל	אל			n
2a.b6@פתח[2]	פתח	פתח			n
2a.b6@אולם[3]	אולם	אולם			n
2a.b6@כדקאמרת	כדקאמרת	כדקאמרת			n
2a.b6@השתא	השתא	השתא			n
2a.b6@דכתיב[2]	דכתיב	דכתיב			n
2a.b6@אל[3]	אל	אל			n
2a.b6@פתח[3]	פתח	פתח			n
2a.b6@אולם[4]	אולם	אולם			n
2a.b6@הבית[2]	הבית	הבית			n
2a.b6@הבית[3]	הבית	הבית			n
2a.b6@הפתוח	הפתוח	הפתוח			n
2a.b6@לאולם	לאולם	לאולם			n
2a.b7@והא	והא	והא			n
2a.b7@כי	כי	כי			n
2a.b7@כתיב	כתיב	כתיב			n
